x, 0, 0, fffX, x, x, x, x, x, x, x, x, xxxx, xx, xx, xx, xx, xx, xx, Xx, xxxx, xx, xx, xx
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f8b8, 30, 27, 04, 55, aa, fe, 27, f8b8, d0, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f8b9, fe, b9, 04, 55, aa, fe, 27, f8b9, 30, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f8ba, 90, 27, 04, 55, aa, fe, 27, f8ba, 30, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f8bb, fe, bb, 04, 55, aa, fe, 27, f8bb, 90, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f8bc, da, 27, 04, 55, aa, fe, 27, f8bc, 90, fe, f8
1, 0, 0, fffc, 0, 0, 4, 0, 0, 1, 1, 1, 01fe, 42, 55, 04, 55, aa, fe, 27, f8bd, da, fe, f8
1, 0, 0, fffc, 1, 0, 4, 0, 0, 1, 3, 1, f8bd, 7a, 27, 04, 55, aa, fd, 27, f8bd, da, fe, f8
1, 0, 0, fffc, 0, 0, 4, 0, 0, 1, 2, 1, 01fe, 55, be, 04, 55, aa, fd, 27, f8be, 7a, fe, f8
1, 0, 0, fffc, 1, 0, 4, 0, 0, 1, 3, 1, f8be, c0, 27, 04, 55, aa, fe, 27, f8be, 7a, 55, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f8bf, 55, bf, 04, 55, 55, fe, 25, f8bf, c0, 55, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 1, 3, 1, f8c0, d0, 25, 04, 55, 55, fe, 25, f8c0, c0, 55, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f8c1, fe, c1, 04, 55, 55, fe, 27, f8c1, d0, 55, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f8c2, 30, 27, 04, 55, 55, fe, 27, f8c2, d0, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f8c3, fe, c3, 04, 55, 55, fe, 27, f8c3, 30, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f8c4, 90, 27, 04, 55, 55, fe, 27, f8c4, 30, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f8c5, fe, c5, 04, 55, 55, fe, 27, f8c5, 90, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f8c6, fa, 27, 04, 55, 55, fe, 27, f8c6, 90, fe, f8
1, 0, 0, fffc, 0, 0, 4, 0, 0, 1, 2, 1, 01ff, aa, c7, 04, 55, 55, fe, 27, f8c7, fa, fe, f8
